Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_RW_%
Lake Albert,RandomWalk,1,0.1539,0.1214,0.0
Lake Albert,RandomWalk,3,0.3798,0.2944,0.0
Lake Albert,RandomWalk,6,0.6187,0.4954,0.0
Lake Albert,RandomWalk,12,0.9827,0.8373,0.0
Lake Albert,SeasonalNaive,1,1.1274,0.9497,-632.6
Lake Albert,SeasonalNaive,3,1.0588,0.9007,-178.8
Lake Albert,SeasonalNaive,6,0.9872,0.8439,-59.6
Lake Albert,SeasonalNaive,12,0.9827,0.8373,0.0
Lake Albert,ARIMA,1,0.1328,0.1082,13.7
Lake Albert,ARIMA,3,0.3541,0.2861,6.8
Lake Albert,ARIMA,6,0.6065,0.4956,2.0
Lake Albert,ARIMA,12,0.9661,0.8222,1.7
Lake Albert,SARIMA,1,0.1243,0.1003,19.2
Lake Albert,SARIMA,3,0.3055,0.2348,19.6
Lake Albert,SARIMA,6,0.5542,0.4443,10.4
Lake Albert,SARIMA,12,1.0918,0.913,-11.1
Lake Edward,RandomWalk,1,0.1074,0.0853,0.0
Lake Edward,RandomWalk,3,0.2097,0.1683,0.0
Lake Edward,RandomWalk,6,0.2486,0.2017,0.0
Lake Edward,RandomWalk,12,0.2818,0.2364,0.0
Lake Edward,SeasonalNaive,1,0.2769,0.2321,-157.8
Lake Edward,SeasonalNaive,3,0.268,0.2242,-27.8
Lake Edward,SeasonalNaive,6,0.2706,0.2253,-8.8
Lake Edward,SeasonalNaive,12,0.2818,0.2364,0.0
Lake Edward,ARIMA,1,0.0879,0.0674,18.2
Lake Edward,ARIMA,3,0.1705,0.1356,18.7
Lake Edward,ARIMA,6,0.249,0.2021,-0.2
Lake Edward,ARIMA,12,0.2818,0.2364,0.0
Lake Edward,SARIMA,1,0.087,0.0685,19.0
Lake Edward,SARIMA,3,0.1678,0.1339,20.0
Lake Edward,SARIMA,6,0.2463,0.2002,0.9
Lake Edward,SARIMA,12,0.2844,0.2391,-0.9
Lake Kivu,RandomWalk,1,0.1098,0.0836,0.0
Lake Kivu,RandomWalk,3,0.2281,0.1896,0.0
Lake Kivu,RandomWalk,6,0.3035,0.2554,0.0
