Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_RW_%,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Albert,RandomWalk,1,0.1539,0.1214,60,0.0,-23.8,27.1,0.285
Lake Albert,RandomWalk,3,0.3798,0.2944,58,0.0,-24.3,67.0,0.692
Lake Albert,RandomWalk,6,0.6187,0.4954,55,0.0,-11.6,109.1,1.165
Lake Albert,RandomWalk,12,0.9827,0.8373,49,0.0,10.0,173.3,1.969
Lake Albert,SeasonalNaive,1,1.1274,0.9497,60,-632.6,-807.0,198.8,2.233
Lake Albert,SeasonalNaive,3,1.0588,0.9007,58,-178.8,-246.6,186.7,2.118
Lake Albert,SeasonalNaive,6,0.9872,0.8439,55,-59.6,-78.1,174.1,1.984
Lake Albert,SeasonalNaive,12,0.9827,0.8373,49,0.0,10.0,173.3,1.969
Lake Albert,ARIMA,1,0.1328,0.1082,60,13.7,-6.8,23.4,0.254
Lake Albert,ARIMA,3,0.3541,0.2861,58,6.8,-15.9,62.4,0.673
Lake Albert,ARIMA,6,0.6065,0.4956,55,2.0,-9.4,106.9,1.165
Lake Albert,ARIMA,12,0.9661,0.8222,49,1.7,11.5,170.4,1.933
Lake Albert,SARIMA,1,0.1243,0.1003,60,19.2,0.0,21.9,0.236
Lake Albert,SARIMA,3,0.3055,0.2348,58,19.6,0.0,53.9,0.552
Lake Albert,SARIMA,6,0.5542,0.4443,55,10.4,0.0,97.7,1.045
Lake Albert,SARIMA,12,1.0918,0.913,49,-11.1,0.0,192.5,2.147
Lake Edward,RandomWalk,1,0.1074,0.0853,60,0.0,-23.4,35.0,0.286
Lake Edward,RandomWalk,3,0.2097,0.1683,58,0.0,-25.0,68.4,0.564
Lake Edward,RandomWalk,6,0.2486,0.2017,55,0.0,-0.9,81.1,0.676
Lake Edward,RandomWalk,12,0.2818,0.2364,49,0.0,0.9,91.9,0.792
Lake Edward,SeasonalNaive,1,0.2769,0.2321,60,-157.8,-218.3,90.3,0.777
Lake Edward,SeasonalNaive,3,0.268,0.2242,58,-27.8,-59.7,87.4,0.751
Lake Edward,SeasonalNaive,6,0.2706,0.2253,55,-8.8,-9.9,88.3,0.755
Lake Edward,SeasonalNaive,12,0.2818,0.2364,49,0.0,0.9,91.9,0.792
Lake Edward,ARIMA,1,0.0879,0.0674,60,18.2,-1.0,28.7,0.226
Lake Edward,ARIMA,3,0.1705,0.1356,58,18.7,-1.6,55.6,0.454
Lake Edward,ARIMA,6,0.249,0.2021,55,-0.2,-1.1,81.2,0.677
Lake Edward,ARIMA,12,0.2818,0.2364,49,0.0,0.9,91.9,0.792
Lake Edward,SARIMA,1,0.087,0.0685,60,19.0,0.0,28.4,0.229
Lake Edward,SARIMA,3,0.1678,0.1339,58,20.0,0.0,54.7,0.448
Lake Edward,SARIMA,6,0.2463,0.2002,55,0.9,0.0,80.3,0.671
Lake Edward,SARIMA,12,0.2844,0.2391,49,-0.9,0.0,92.8,0.801
Lake Kivu,RandomWalk,1,0.1098,0.0836,60,0.0,-32.1,33.6,0.286
Lake Kivu,RandomWalk,3,0.2281,0.1896,58,0.0,-84.4,69.8,0.649
Lake Kivu,RandomWalk,6,0.3035,0.2554,55,0.0,-78.1,92.9,0.874
Lake Kivu,RandomWalk,12,0.2057,0.1616,49,0.0,3.3,63.0,0.553
Lake Kivu,SeasonalNaive,1,0.202,0.1611,60,-84.0,-143.1,61.9,0.551
