preproc,window,Lake,E,simplex_rho,selected,argmax
stl,full,Lake Albert,1,0.6945437481426369,False,False
stl,full,Lake Albert,2,0.6986670698803303,False,False
stl,full,Lake Albert,3,0.720742438822271,False,False
stl,full,Lake Albert,4,0.7441246632628844,False,False
stl,full,Lake Albert,5,0.767672776112387,True,True
stl,full,Lake Albert,6,0.7564206352687273,False,False
stl,full,Lake Albert,7,0.7578624310350417,False,False
stl,full,Lake Albert,8,0.7600968456719702,False,False
stl,full,Lake Albert,9,0.7558890963569427,False,False
stl,full,Lake Albert,10,0.7465406538991054,False,False
stl,full,Lake Edward,1,0.5966113056301579,False,False
stl,full,Lake Edward,2,0.5734432435180439,False,False
stl,full,Lake Edward,3,0.6024522651665369,False,False
stl,full,Lake Edward,4,0.6025485386702653,False,False
stl,full,Lake Edward,5,0.5958514099586967,False,False
stl,full,Lake Edward,6,0.5959540883394119,False,False
stl,full,Lake Edward,7,0.5987880620585533,False,False
stl,full,Lake Edward,8,0.6162422798709603,False,False
stl,full,Lake Edward,9,0.6485551234790231,True,True
stl,full,Lake Edward,10,0.6472582485192819,False,False
stl,full,Lake Kivu,1,0.4748933556625782,False,False
stl,full,Lake Kivu,2,0.5794039799191062,False,False
stl,full,Lake Kivu,3,0.6251232254513295,False,False
stl,full,Lake Kivu,4,0.6368542197741986,True,True
stl,full,Lake Kivu,5,0.6015963175622888,False,False
stl,full,Lake Kivu,6,0.5976461501765685,False,False
stl,full,Lake Kivu,7,0.6171725266027799,False,False
stl,full,Lake Kivu,8,0.6206786278908523,False,False
stl,full,Lake Kivu,9,0.6251780756772359,False,False
stl,full,Lake Kivu,10,0.6249696163294235,False,False
stl,full,Lake Malawi,1,0.7043232169905878,False,False
stl,full,Lake Malawi,2,0.729410527662082,False,False
stl,full,Lake Malawi,3,0.7111532439919303,False,False
stl,full,Lake Malawi,4,0.7227137495228646,False,False
stl,full,Lake Malawi,5,0.6830298984880601,False,False
stl,full,Lake Malawi,6,0.7103692739358771,False,False
stl,full,Lake Malawi,7,0.7370489751426433,True,False
stl,full,Lake Malawi,8,0.7446759471209214,False,True
stl,full,Lake Malawi,9,0.7416285220933687,False,False
stl,full,Lake Malawi,10,0.7434748007990846,False,False
stl,full,Lake Tanganyika,1,0.7427802454176153,False,False
stl,full,Lake Tanganyika,2,0.7322293469912894,False,False
stl,full,Lake Tanganyika,3,0.7672525831510628,False,False
stl,full,Lake Tanganyika,4,0.7556931199898415,False,False
stl,full,Lake Tanganyika,5,0.7702984829706712,False,False
stl,full,Lake Tanganyika,6,0.7751483805372832,False,False
stl,full,Lake Tanganyika,7,0.7779573483821036,False,False
stl,full,Lake Tanganyika,8,0.815746984284779,True,False
stl,full,Lake Tanganyika,9,0.8205913719702018,False,False
stl,full,Lake Tanganyika,10,0.8226316884063344,False,True
stl,full,Lake Turkana,1,0.7365140096248691,False,False
stl,full,Lake Turkana,2,0.8375963307748965,False,False
stl,full,Lake Turkana,3,0.8509962937375858,True,False
stl,full,Lake Turkana,4,0.859657284599278,False,True
stl,full,Lake Turkana,5,0.845682584323984,False,False
stl,full,Lake Turkana,6,0.8474715218628964,False,False
stl,full,Lake Turkana,7,0.8365278220385816,False,False
stl,full,Lake Turkana,8,0.8336588234637862,False,False
stl,full,Lake Turkana,9,0.8260299643362555,False,False
stl,full,Lake Turkana,10,0.8238273969438893,False,False
stl,full,Lake Victoria,1,0.7394941897863788,False,False
stl,full,Lake Victoria,2,0.7831126157038985,False,False
stl,full,Lake Victoria,3,0.777545210031893,False,False
stl,full,Lake Victoria,4,0.7368982185919398,False,False
stl,full,Lake Victoria,5,0.7591854223232581,False,False
stl,full,Lake Victoria,6,0.7668671054395954,False,False
stl,full,Lake Victoria,7,0.7761133712527922,False,False
stl,full,Lake Victoria,8,0.7938661567731786,False,False
stl,full,Lake Victoria,9,0.7986289754505123,True,False
stl,full,Lake Victoria,10,0.808366547091282,False,True
stl,train,Lake Albert,1,0.6218139819564079,False,False
stl,train,Lake Albert,2,0.6782481106825367,False,False
stl,train,Lake Albert,3,0.6213965054223304,False,False
stl,train,Lake Albert,4,0.6370732140640238,False,False
stl,train,Lake Albert,5,0.6638683812902194,False,False
stl,train,Lake Albert,6,0.6765247327539625,False,False
stl,train,Lake Albert,7,0.686792743325466,True,False
stl,train,Lake Albert,8,0.6914940353714302,False,False
stl,train,Lake Albert,9,0.6961656593387817,False,True
stl,train,Lake Albert,10,0.6956839425215051,False,False
stl,train,Lake Edward,1,0.6068154918501885,False,False
stl,train,Lake Edward,2,0.5583222894991133,False,False
stl,train,Lake Edward,3,0.6056304379517552,False,False
stl,train,Lake Edward,4,0.6167653662947693,False,False
stl,train,Lake Edward,5,0.60474474130268,False,False
stl,train,Lake Edward,6,0.5986627023724921,False,False
stl,train,Lake Edward,7,0.6029569532870714,False,False
stl,train,Lake Edward,8,0.6302252297537559,True,False
stl,train,Lake Edward,9,0.6386666660070139,False,True
stl,train,Lake Edward,10,0.6264447784393959,False,False
stl,train,Lake Kivu,1,0.48899439776785397,False,False
stl,train,Lake Kivu,2,0.6218442270811281,False,False
stl,train,Lake Kivu,3,0.6454037037443,False,False
stl,train,Lake Kivu,4,0.6470335286437912,False,False
stl,train,Lake Kivu,5,0.6332976214879616,False,False
stl,train,Lake Kivu,6,0.6241145421681512,False,False
stl,train,Lake Kivu,7,0.62122254825716,False,False
stl,train,Lake Kivu,8,0.6452541425211928,False,False
stl,train,Lake Kivu,9,0.6649379556779489,True,True
stl,train,Lake Kivu,10,0.6469888264322141,False,False
stl,train,Lake Malawi,1,0.6205787532859207,False,False
stl,train,Lake Malawi,2,0.6847611098450491,False,False
stl,train,Lake Malawi,3,0.6904152604568182,False,False
stl,train,Lake Malawi,4,0.6930863473346007,False,False
stl,train,Lake Malawi,5,0.6846779190582755,False,False
stl,train,Lake Malawi,6,0.6841654231499114,False,False
stl,train,Lake Malawi,7,0.7340762144312871,True,False
stl,train,Lake Malawi,8,0.7339105728429703,False,False
stl,train,Lake Malawi,9,0.7344799732824279,False,True
stl,train,Lake Malawi,10,0.730234162112252,False,False
stl,train,Lake Tanganyika,1,0.7583701778365187,False,False
stl,train,Lake Tanganyika,2,0.7668351500581773,False,False
stl,train,Lake Tanganyika,3,0.770621490063025,False,False
