Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_SARIMA_%
Lake Albert,RandomWalk,1,0.1539,0.1214,-23.8
Lake Albert,RandomWalk,3,0.3798,0.2944,-24.3
Lake Albert,RandomWalk,6,0.6187,0.4954,-11.6
Lake Albert,RandomWalk,12,0.9827,0.8373,10.0
Lake Albert,SARIMA,1,0.1243,0.1003,0.0
Lake Albert,SARIMA,3,0.3055,0.2348,0.0
Lake Albert,SARIMA,6,0.5542,0.4443,0.0
Lake Albert,SARIMA,12,1.0918,0.913,0.0
Lake Albert,VAR,1,0.1297,0.1076,-4.3
Lake Albert,VAR,3,0.303,0.2432,0.8
Lake Albert,VAR,6,0.5298,0.4225,4.4
Lake Albert,VAR,12,0.989,0.8242,9.4
Lake Albert,VARX,1,0.1304,0.1031,-4.9
Lake Albert,VARX,3,0.3075,0.2457,-0.7
Lake Albert,VARX,6,0.5404,0.4346,2.5
Lake Albert,VARX,12,0.9602,0.8053,12.1
Lake Edward,RandomWalk,1,0.1074,0.0853,-23.4
Lake Edward,RandomWalk,3,0.2097,0.1683,-25.0
Lake Edward,RandomWalk,6,0.2486,0.2017,-0.9
Lake Edward,RandomWalk,12,0.2818,0.2364,0.9
Lake Edward,SARIMA,1,0.087,0.0685,0.0
Lake Edward,SARIMA,3,0.1678,0.1339,0.0
Lake Edward,SARIMA,6,0.2463,0.2002,0.0
Lake Edward,SARIMA,12,0.2844,0.2391,0.0
Lake Edward,VAR,1,0.0896,0.0724,-3.0
Lake Edward,VAR,3,0.147,0.1233,12.4
Lake Edward,VAR,6,0.2286,0.1912,7.2
Lake Edward,VAR,12,0.3382,0.285,-18.9
Lake Edward,VARX,1,0.0692,0.0549,20.5
Lake Edward,VARX,3,0.1383,0.1132,17.6
Lake Edward,VARX,6,0.2247,0.1773,8.8
Lake Edward,VARX,12,0.3301,0.2865,-16.1
Lake Kivu,RandomWalk,1,0.1098,0.0836,-32.1
Lake Kivu,RandomWalk,3,0.2281,0.1896,-84.4
Lake Kivu,RandomWalk,6,0.3035,0.2554,-78.1
Lake Kivu,RandomWalk,12,0.2057,0.1616,3.3
Lake Kivu,SARIMA,1,0.0831,0.0617,0.0
Lake Kivu,SARIMA,3,0.1237,0.0958,0.0
Lake Kivu,SARIMA,6,0.1704,0.1346,0.0
Lake Kivu,SARIMA,12,0.2128,0.1657,0.0
Lake Kivu,VAR,1,0.0806,0.0604,3.0
Lake Kivu,VAR,3,0.1305,0.1031,-5.5
Lake Kivu,VAR,6,0.1806,0.1401,-6.0
Lake Kivu,VAR,12,0.2415,0.1838,-13.5
Lake Kivu,VARX,1,0.0723,0.0566,13.0
Lake Kivu,VARX,3,0.1252,0.096,-1.2
Lake Kivu,VARX,6,0.1802,0.1444,-5.8
Lake Kivu,VARX,12,0.2296,0.1788,-7.9
Lake Malawi,RandomWalk,1,0.2235,0.185,-102.8
Lake Malawi,RandomWalk,3,0.5707,0.4954,-130.7
Lake Malawi,RandomWalk,6,0.7759,0.6755,-108.5
Lake Malawi,RandomWalk,12,0.547,0.5005,1.4
Lake Malawi,SARIMA,1,0.1102,0.0692,0.0
Lake Malawi,SARIMA,3,0.2474,0.1658,0.0
Lake Malawi,SARIMA,6,0.3721,0.2811,0.0
Lake Malawi,SARIMA,12,0.5549,0.4783,0.0
Lake Malawi,VAR,1,0.1045,0.0648,5.2
Lake Malawi,VAR,3,0.2271,0.1509,8.2
Lake Malawi,VAR,6,0.3438,0.2519,7.6
Lake Malawi,VAR,12,0.5357,0.4723,3.5
Lake Malawi,VARX,1,0.0811,0.0556,26.4
Lake Malawi,VARX,3,0.2169,0.1368,12.3
Lake Malawi,VARX,6,0.3447,0.2454,7.4
Lake Malawi,VARX,12,0.5361,0.475,3.4
Lake Tanganyika,RandomWalk,1,0.1712,0.1472,-95.0
Lake Tanganyika,RandomWalk,3,0.4286,0.3809,-111.5
Lake Tanganyika,RandomWalk,6,0.6197,0.5191,-81.3
Lake Tanganyika,RandomWalk,12,0.4753,0.394,-4.5
Lake Tanganyika,SARIMA,1,0.0878,0.0624,0.0
Lake Tanganyika,SARIMA,3,0.2026,0.1551,0.0
Lake Tanganyika,SARIMA,6,0.3418,0.2706,0.0
Lake Tanganyika,SARIMA,12,0.4547,0.3789,0.0
Lake Tanganyika,VAR,1,0.0745,0.0518,15.1
Lake Tanganyika,VAR,3,0.1494,0.1107,26.3
Lake Tanganyika,VAR,6,0.2532,0.1955,25.9
Lake Tanganyika,VAR,12,0.4149,0.3443,8.8
Lake Tanganyika,VARX,1,0.0694,0.044,21.0
Lake Tanganyika,VARX,3,0.1478,0.1104,27.0
Lake Tanganyika,VARX,6,0.2427,0.199,29.0
Lake Tanganyika,VARX,12,0.367,0.3247,19.3
Lake Turkana,RandomWalk,1,0.1204,0.086,-20.8
Lake Turkana,RandomWalk,3,0.2748,0.2148,-12.0
Lake Turkana,RandomWalk,6,0.449,0.3703,-8.6
Lake Turkana,RandomWalk,12,0.8021,0.6708,-18.0
Lake Turkana,SARIMA,1,0.0997,0.0722,0.0
Lake Turkana,SARIMA,3,0.2454,0.1988,0.0
Lake Turkana,SARIMA,6,0.4134,0.3584,0.0
