Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Albert,RandomWalk,1,0.1539,0.1214,-23.8,27.1,0.285
Lake Albert,RandomWalk,3,0.3798,0.2944,-24.3,67.0,0.692
Lake Albert,RandomWalk,6,0.6187,0.4954,-11.6,109.1,1.165
Lake Albert,RandomWalk,12,0.9827,0.8373,10.0,173.3,1.969
Lake Albert,SARIMA,1,0.1243,0.1003,0.0,21.9,0.236
Lake Albert,SARIMA,3,0.3055,0.2348,0.0,53.9,0.552
Lake Albert,SARIMA,6,0.5542,0.4443,0.0,97.7,1.045
Lake Albert,SARIMA,12,1.0918,0.913,0.0,192.5,2.147
Lake Albert,VAR,1,0.1297,0.1076,-4.3,22.9,0.253
Lake Albert,VAR,3,0.303,0.2432,0.8,53.4,0.572
Lake Albert,VAR,6,0.5298,0.4225,4.4,93.4,0.993
Lake Albert,VAR,12,0.989,0.8242,9.4,174.4,1.938
Lake Albert,VARX,1,0.1304,0.1031,-4.9,23.0,0.242
Lake Albert,VARX,3,0.3075,0.2457,-0.7,54.2,0.578
Lake Albert,VARX,6,0.5404,0.4346,2.5,95.3,1.022
Lake Albert,VARX,12,0.9602,0.8053,12.1,169.3,1.893
Lake Edward,RandomWalk,1,0.1074,0.0853,-23.4,35.0,0.286
Lake Edward,RandomWalk,3,0.2097,0.1683,-25.0,68.4,0.564
Lake Edward,RandomWalk,6,0.2486,0.2017,-0.9,81.1,0.676
Lake Edward,RandomWalk,12,0.2818,0.2364,0.9,91.9,0.792
Lake Edward,SARIMA,1,0.087,0.0685,0.0,28.4,0.229
Lake Edward,SARIMA,3,0.1678,0.1339,0.0,54.7,0.448
Lake Edward,SARIMA,6,0.2463,0.2002,0.0,80.3,0.671
Lake Edward,SARIMA,12,0.2844,0.2391,0.0,92.8,0.801
Lake Edward,VAR,1,0.0896,0.0724,-3.0,29.2,0.243
Lake Edward,VAR,3,0.147,0.1233,12.4,48.0,0.413
Lake Edward,VAR,6,0.2286,0.1912,7.2,74.6,0.64
Lake Edward,VAR,12,0.3382,0.285,-18.9,110.3,0.955
Lake Edward,VARX,1,0.0692,0.0549,20.5,22.6,0.184
Lake Edward,VARX,3,0.1383,0.1132,17.6,45.1,0.379
Lake Edward,VARX,6,0.2247,0.1773,8.8,73.3,0.594
Lake Edward,VARX,12,0.3301,0.2865,-16.1,107.7,0.96
Lake Kivu,RandomWalk,1,0.1098,0.0836,-32.1,33.6,0.286
Lake Kivu,RandomWalk,3,0.2281,0.1896,-84.4,69.8,0.649
Lake Kivu,RandomWalk,6,0.3035,0.2554,-78.1,92.9,0.874
Lake Kivu,RandomWalk,12,0.2057,0.1616,3.3,63.0,0.553
Lake Kivu,SARIMA,1,0.0831,0.0617,0.0,25.4,0.211
Lake Kivu,SARIMA,3,0.1237,0.0958,0.0,37.9,0.328
Lake Kivu,SARIMA,6,0.1704,0.1346,0.0,52.2,0.46
Lake Kivu,SARIMA,12,0.2128,0.1657,0.0,65.2,0.567
Lake Kivu,VAR,1,0.0806,0.0604,3.0,24.7,0.207
Lake Kivu,VAR,3,0.1305,0.1031,-5.5,40.0,0.353
Lake Kivu,VAR,6,0.1806,0.1401,-6.0,55.3,0.479
Lake Kivu,VAR,12,0.2415,0.1838,-13.5,73.9,0.629
Lake Kivu,VARX,1,0.0723,0.0566,13.0,22.1,0.194
Lake Kivu,VARX,3,0.1252,0.096,-1.2,38.3,0.328
Lake Kivu,VARX,6,0.1802,0.1444,-5.8,55.2,0.494
Lake Kivu,VARX,12,0.2296,0.1788,-7.9,70.3,0.612
Lake Malawi,RandomWalk,1,0.2235,0.185,-102.8,34.7,0.639
Lake Malawi,RandomWalk,3,0.5707,0.4954,-130.7,88.6,1.71
Lake Malawi,RandomWalk,6,0.7759,0.6755,-108.5,120.5,2.331
Lake Malawi,RandomWalk,12,0.547,0.5005,1.4,84.9,1.727
Lake Malawi,SARIMA,1,0.1102,0.0692,0.0,17.1,0.239
Lake Malawi,SARIMA,3,0.2474,0.1658,0.0,38.4,0.572
Lake Malawi,SARIMA,6,0.3721,0.2811,0.0,57.8,0.97
Lake Malawi,SARIMA,12,0.5549,0.4783,0.0,86.2,1.651
Lake Malawi,VAR,1,0.1045,0.0648,5.2,16.2,0.224
Lake Malawi,VAR,3,0.2271,0.1509,8.2,35.3,0.521
Lake Malawi,VAR,6,0.3438,0.2519,7.6,53.4,0.869
Lake Malawi,VAR,12,0.5357,0.4723,3.5,83.2,1.63
Lake Malawi,VARX,1,0.0811,0.0556,26.4,12.6,0.192
