Model,p,s,term,coef,se_ols,se_clustered_by_time,z_clustered,p_value_clustered,n_params,nobs,sigma2,AIC,BIC
GNAR,1,[2],alpha_lag1_node0,-0.039222,0.043552,0.068198,-0.575,0.5652,9,2135,0.00977857,-9870.863,-9819.867
GNAR,1,[2],alpha_lag1_node1,-0.044886,0.054797,0.075369,-0.596,0.5515,9,2135,0.00977857,-9870.863,-9819.867
GNAR,1,[2],alpha_lag1_node2,-0.092104,0.059787,0.064183,-1.435,0.1513,9,2135,0.00977857,-9870.863,-9819.867
GNAR,1,[2],alpha_lag1_node3,0.112337,0.061732,0.068171,1.648,0.0994,9,2135,0.00977857,-9870.863,-9819.867
GNAR,1,[2],alpha_lag1_node4,0.162269,0.077114,0.072356,2.243,0.0249,9,2135,0.00977857,-9870.863,-9819.867
GNAR,1,[2],alpha_lag1_node5,0.541446,0.03829,0.052575,10.299,0.0,9,2135,0.00977857,-9870.863,-9819.867
GNAR,1,[2],alpha_lag1_node6,0.265583,0.076707,0.054374,4.884,0.0,9,2135,0.00977857,-9870.863,-9819.867
GNAR,1,[2],beta_lag1_stage1,0.171042,0.033407,0.047767,3.581,0.0003,9,2135,0.00977857,-9870.863,-9819.867
GNAR,1,[2],beta_lag1_stage2,0.077685,0.018867,0.020387,3.81,0.0001,9,2135,0.00977857,-9870.863,-9819.867
GNARX_wb,1,[1],alpha_lag1_node0,-0.076706,0.040949,0.066788,-1.149,0.2508,9,2135,0.00863142,-10137.279,-10086.283
GNARX_wb,1,[1],alpha_lag1_node1,-0.174823,0.051983,0.074255,-2.354,0.0186,9,2135,0.00863142,-10137.279,-10086.283
GNARX_wb,1,[1],alpha_lag1_node2,-0.162461,0.0561,0.061813,-2.628,0.0086,9,2135,0.00863142,-10137.279,-10086.283
GNARX_wb,1,[1],alpha_lag1_node3,-0.010939,0.058452,0.061964,-0.177,0.8599,9,2135,0.00863142,-10137.279,-10086.283
GNARX_wb,1,[1],alpha_lag1_node4,0.09355,0.07256,0.067771,1.38,0.1675,9,2135,0.00863142,-10137.279,-10086.283
GNARX_wb,1,[1],alpha_lag1_node5,0.492592,0.036073,0.04874,10.107,0.0,9,2135,0.00863142,-10137.279,-10086.283
GNARX_wb,1,[1],alpha_lag1_node6,0.095704,0.07273,0.047582,2.011,0.0443,9,2135,0.00863142,-10137.279,-10086.283
GNARX_wb,1,[1],beta_lag1_stage1,0.069858,0.031095,0.040598,1.721,0.0853,9,2135,0.00863142,-10137.279,-10086.283
GNARX_wb,1,[1],lambda_exog0_lag1,0.038912,0.00224,0.003124,12.455,0.0,9,2135,0.00863142,-10137.279,-10086.283
GNARX_wb_dmi,1,[1],alpha_lag1_node0,-0.087764,0.040636,0.06649,-1.32,0.1868,10,2135,0.00848362,-10173.158,-10116.496
GNARX_wb_dmi,1,[1],alpha_lag1_node1,-0.183628,0.051556,0.073104,-2.512,0.012,10,2135,0.00848362,-10173.158,-10116.496
GNARX_wb_dmi,1,[1],alpha_lag1_node2,-0.167056,0.055623,0.060947,-2.741,0.0061,10,2135,0.00848362,-10173.158,-10116.496
GNARX_wb_dmi,1,[1],alpha_lag1_node3,-0.022265,0.057978,0.062057,-0.359,0.7198,10,2135,0.00848362,-10173.158,-10116.496
GNARX_wb_dmi,1,[1],alpha_lag1_node4,0.056748,0.072183,0.064386,0.881,0.3781,10,2135,0.00848362,-10173.158,-10116.496
GNARX_wb_dmi,1,[1],alpha_lag1_node5,0.48255,0.0358,0.04848,9.954,0.0,10,2135,0.00848362,-10173.158,-10116.496
GNARX_wb_dmi,1,[1],alpha_lag1_node6,0.065891,0.072267,0.045306,1.454,0.1458,10,2135,0.00848362,-10173.158,-10116.496
GNARX_wb_dmi,1,[1],beta_lag1_stage1,0.034496,0.031356,0.039544,0.872,0.383,10,2135,0.00848362,-10173.158,-10116.496
GNARX_wb_dmi,1,[1],lambda_exog0_lag1,0.0373,0.002236,0.002983,12.504,0.0,10,2135,0.00848362,-10173.158,-10116.496
GNARX_wb_dmi,1,[1],lambda_exog1_lag1,0.040887,0.006629,0.007606,5.375,0.0,10,2135,0.00848362,-10173.158,-10116.496
