Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%
Lake Albert,RandomWalk,1,0.1539,0.1214,60,-23.8
Lake Albert,RandomWalk,3,0.3798,0.2944,58,-24.3
Lake Albert,RandomWalk,6,0.6187,0.4954,55,-11.6
Lake Albert,RandomWalk,12,0.9827,0.8373,49,10.0
Lake Albert,SARIMA,1,0.1243,0.1003,60,0.0
Lake Albert,SARIMA,3,0.3055,0.2348,58,0.0
Lake Albert,SARIMA,6,0.5542,0.4443,55,0.0
Lake Albert,SARIMA,12,1.0918,0.913,49,0.0
Lake Albert,GNAR,1,0.1361,0.1115,60,-9.5
Lake Albert,GNAR,3,0.3187,0.2582,58,-4.3
Lake Albert,GNAR,6,0.5588,0.4541,55,-0.8
Lake Albert,GNAR,12,1.0019,0.8559,49,8.2
Lake Albert,GNAR_refit,1,0.1329,0.1086,60,-6.9
Lake Albert,GNAR_refit,3,0.3164,0.2542,58,-3.6
Lake Albert,GNAR_refit,6,0.5597,0.4522,55,-1.0
Lake Albert,GNAR_refit,12,1.0155,0.8649,49,7.0
Lake Albert,GNARX_wb,1,0.1316,0.1093,60,-5.9
Lake Albert,GNARX_wb,3,0.3197,0.2605,58,-4.6
Lake Albert,GNARX_wb,6,0.5627,0.4595,55,-1.5
Lake Albert,GNARX_wb,12,0.9985,0.8611,49,8.5
Lake Albert,GNARX_wb_refit,1,0.129,0.106,60,-3.8
Lake Albert,GNARX_wb_refit,3,0.3181,0.2577,58,-4.1
Lake Albert,GNARX_wb_refit,6,0.5644,0.4582,55,-1.8
Lake Albert,GNARX_wb_refit,12,1.013,0.8706,49,7.2
Lake Albert,GNARX_wb_dmi,1,0.1257,0.1031,60,-1.1
Lake Albert,GNARX_wb_dmi,3,0.2985,0.2411,58,2.3
Lake Albert,GNARX_wb_dmi,6,0.5155,0.4145,55,7.0
Lake Albert,GNARX_wb_dmi,12,0.9001,0.7537,49,17.6
Lake Albert,GNARX_wb_dmi_refit,1,0.1233,0.0999,60,0.8
Lake Albert,GNARX_wb_dmi_refit,3,0.2961,0.2369,58,3.1
Lake Albert,GNARX_wb_dmi_refit,6,0.5148,0.4119,55,7.1
Lake Albert,GNARX_wb_dmi_refit,12,0.9098,0.7593,49,16.7
Lake Edward,RandomWalk,1,0.1074,0.0853,60,-23.4
Lake Edward,RandomWalk,3,0.2097,0.1683,58,-25.0
Lake Edward,RandomWalk,6,0.2486,0.2017,55,-0.9
Lake Edward,RandomWalk,12,0.2818,0.2364,49,0.9
Lake Edward,SARIMA,1,0.087,0.0685,60,0.0
Lake Edward,SARIMA,3,0.1678,0.1339,58,0.0
Lake Edward,SARIMA,6,0.2463,0.2002,55,0.0
Lake Edward,SARIMA,12,0.2844,0.2391,49,0.0
Lake Edward,GNAR,1,0.0806,0.0668,60,7.4
Lake Edward,GNAR,3,0.1466,0.1212,58,12.6
Lake Edward,GNAR,6,0.2365,0.1893,55,4.0
Lake Edward,GNAR,12,0.3107,0.2612,49,-9.2
Lake Edward,GNAR_refit,1,0.0807,0.0668,60,7.2
Lake Edward,GNAR_refit,3,0.1468,0.1212,58,12.5
Lake Edward,GNAR_refit,6,0.2375,0.1888,55,3.6
Lake Edward,GNAR_refit,12,0.3139,0.2633,49,-10.4
Lake Edward,GNARX_wb,1,0.0903,0.0716,60,-3.8
Lake Edward,GNARX_wb,3,0.1517,0.1238,58,9.6
Lake Edward,GNARX_wb,6,0.231,0.1893,55,6.2
Lake Edward,GNARX_wb,12,0.3076,0.2664,49,-8.2
Lake Edward,GNARX_wb_refit,1,0.0898,0.0711,60,-3.2
Lake Edward,GNARX_wb_refit,3,0.1516,0.1239,58,9.7
Lake Edward,GNARX_wb_refit,6,0.232,0.1895,55,5.8
Lake Edward,GNARX_wb_refit,12,0.3105,0.2682,49,-9.2
Lake Edward,GNARX_wb_dmi,1,0.0948,0.0753,60,-9.0
Lake Edward,GNARX_wb_dmi,3,0.1701,0.1409,58,-1.4
Lake Edward,GNARX_wb_dmi,6,0.2698,0.2166,55,-9.5
Lake Edward,GNARX_wb_dmi,12,0.4224,0.3686,49,-48.5
Lake Edward,GNARX_wb_dmi_refit,1,0.0943,0.0748,60,-8.4
Lake Edward,GNARX_wb_dmi_refit,3,0.1704,0.1413,58,-1.5
Lake Edward,GNARX_wb_dmi_refit,6,0.2714,0.2178,55,-10.2
Lake Edward,GNARX_wb_dmi_refit,12,0.4258,0.3713,49,-49.7
Lake Kivu,RandomWalk,1,0.1098,0.0836,60,-32.1
Lake Kivu,RandomWalk,3,0.2281,0.1896,58,-84.4
Lake Kivu,RandomWalk,6,0.3035,0.2554,55,-78.1
Lake Kivu,RandomWalk,12,0.2057,0.1616,49,3.3
Lake Kivu,SARIMA,1,0.0831,0.0617,60,0.0
Lake Kivu,SARIMA,3,0.1237,0.0958,58,0.0
Lake Kivu,SARIMA,6,0.1704,0.1346,55,0.0
Lake Kivu,SARIMA,12,0.2128,0.1657,49,0.0
Lake Kivu,GNAR,1,0.0786,0.0588,60,5.4
Lake Kivu,GNAR,3,0.129,0.0972,58,-4.3
Lake Kivu,GNAR,6,0.1864,0.146,55,-9.4
Lake Kivu,GNAR,12,0.2239,0.1719,49,-5.2
Lake Kivu,GNAR_refit,1,0.079,0.0592,60,4.9
Lake Kivu,GNAR_refit,3,0.1297,0.0976,58,-4.9
Lake Kivu,GNAR_refit,6,0.1878,0.1466,55,-10.2
Lake Kivu,GNAR_refit,12,0.228,0.1738,49,-7.1
Lake Kivu,GNARX_wb,1,0.0734,0.0568,60,11.7
Lake Kivu,GNARX_wb,3,0.1265,0.1002,58,-2.3
Lake Kivu,GNARX_wb,6,0.1728,0.1397,55,-1.4
Lake Kivu,GNARX_wb,12,0.2131,0.1713,49,-0.1
