Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Albert,RandomWalk,1,0.1539,0.1214,60,-23.8,27.1,0.285
Lake Albert,RandomWalk,3,0.3798,0.2944,58,-24.3,67.0,0.692
Lake Albert,RandomWalk,6,0.6187,0.4954,55,-11.6,109.1,1.165
Lake Albert,RandomWalk,12,0.9827,0.8373,49,10.0,173.3,1.969
Lake Albert,SARIMA,1,0.1243,0.1003,60,0.0,21.9,0.236
Lake Albert,SARIMA,3,0.3055,0.2348,58,0.0,53.9,0.552
Lake Albert,SARIMA,6,0.5542,0.4443,55,0.0,97.7,1.045
Lake Albert,SARIMA,12,1.0918,0.913,49,0.0,192.5,2.147
Lake Albert,GNAR,1,0.1361,0.1115,60,-9.5,24.0,0.262
Lake Albert,GNAR,3,0.3187,0.2582,58,-4.3,56.2,0.607
Lake Albert,GNAR,6,0.5588,0.4541,55,-0.8,98.5,1.068
Lake Albert,GNAR,12,1.0019,0.8559,49,8.2,176.7,2.012
Lake Albert,GNAR_refit,1,0.1329,0.1086,60,-6.9,23.4,0.255
Lake Albert,GNAR_refit,3,0.3164,0.2542,58,-3.6,55.8,0.598
Lake Albert,GNAR_refit,6,0.5597,0.4522,55,-1.0,98.7,1.063
Lake Albert,GNAR_refit,12,1.0155,0.8649,49,7.0,179.1,2.034
Lake Albert,GNARX_wb,1,0.1316,0.1093,60,-5.9,23.2,0.257
Lake Albert,GNARX_wb,3,0.3197,0.2605,58,-4.6,56.4,0.612
Lake Albert,GNARX_wb,6,0.5627,0.4595,55,-1.5,99.2,1.08
Lake Albert,GNARX_wb,12,0.9985,0.8611,49,8.5,176.1,2.025
Lake Albert,GNARX_wb_refit,1,0.129,0.106,60,-3.8,22.7,0.249
Lake Albert,GNARX_wb_refit,3,0.3181,0.2577,58,-4.1,56.1,0.606
Lake Albert,GNARX_wb_refit,6,0.5644,0.4582,55,-1.8,99.5,1.077
Lake Albert,GNARX_wb_refit,12,1.013,0.8706,49,7.2,178.6,2.047
Lake Albert,GNARX_wb_dmi,1,0.1257,0.1031,60,-1.1,22.2,0.242
Lake Albert,GNARX_wb_dmi,3,0.2985,0.2411,58,2.3,52.6,0.567
Lake Albert,GNARX_wb_dmi,6,0.5155,0.4145,55,7.0,90.9,0.975
Lake Albert,GNARX_wb_dmi,12,0.9001,0.7537,49,17.6,158.7,1.772
Lake Albert,GNARX_wb_dmi_refit,1,0.1233,0.0999,60,0.8,21.7,0.235
Lake Albert,GNARX_wb_dmi_refit,3,0.2961,0.2369,58,3.1,52.2,0.557
Lake Albert,GNARX_wb_dmi_refit,6,0.5148,0.4119,55,7.1,90.8,0.968
Lake Albert,GNARX_wb_dmi_refit,12,0.9098,0.7593,49,16.7,160.4,1.785
Lake Edward,RandomWalk,1,0.1074,0.0853,60,-23.4,35.0,0.286
Lake Edward,RandomWalk,3,0.2097,0.1683,58,-25.0,68.4,0.564
Lake Edward,RandomWalk,6,0.2486,0.2017,55,-0.9,81.1,0.676
