Model,p,s,n_params,nobs,AIC,BIC
GNAR,1,[1],8,2135,-9855.905,-9810.576
GNAR,1,[2],9,2135,-9870.863,-9819.867
GNAR,2,"[1, 0]",15,2128,-9845.096,-9760.152
GNAR,2,"[1, 1]",16,2128,-9843.148,-9752.541
GNAR,2,"[2, 0]",16,2128,-9860.077,-9769.47
GNAR,2,"[2, 1]",17,2128,-9858.1,-9761.83
GNAR,2,"[2, 2]",18,2128,-9857.194,-9755.261
GNAR,3,"[1, 0, 0]",22,2121,-9840.992,-9716.48
GNAR,3,"[1, 1, 0]",23,2121,-9839.006,-9708.834
GNAR,3,"[1, 1, 1]",24,2121,-9837.018,-9701.187
GNAR,3,"[2, 0, 0]",23,2121,-9854.922,-9724.75
GNAR,3,"[2, 1, 0]",24,2121,-9853.144,-9717.313
GNAR,3,"[2, 1, 1]",25,2121,-9851.161,-9709.67
GNAR,3,"[2, 2, 0]",25,2121,-9852.001,-9710.51
GNAR,3,"[2, 2, 1]",26,2121,-9850.004,-9702.853
GNAR,3,"[2, 2, 2]",27,2121,-9853.618,-9700.807
GNARX_wb,1,[1],9,2135,-10137.279,-10086.283
GNARX_wb,1,[2],10,2135,-10138.461,-10081.799
GNARX_wb,2,"[1, 0]",16,2128,-10125.026,-10034.419
GNARX_wb,2,"[1, 1]",17,2128,-10126.107,-10029.837
GNARX_wb,2,"[2, 0]",17,2128,-10126.768,-10030.498
GNARX_wb,2,"[2, 1]",18,2128,-10127.203,-10025.27
GNARX_wb,2,"[2, 2]",19,2128,-10126.669,-10019.074
GNARX_wb,3,"[1, 0, 0]",23,2121,-10112.765,-9982.593
GNARX_wb,3,"[1, 1, 0]",24,2121,-10112.501,-9976.669
GNARX_wb,3,"[1, 1, 1]",25,2121,-10111.663,-9970.172
GNARX_wb,3,"[2, 0, 0]",24,2121,-10114.131,-9978.299
GNARX_wb,3,"[2, 1, 0]",25,2121,-10113.426,-9971.935
GNARX_wb,3,"[2, 1, 1]",26,2121,-10112.575,-9965.424
GNARX_wb,3,"[2, 2, 0]",26,2121,-10112.577,-9965.426
GNARX_wb,3,"[2, 2, 1]",27,2121,-10111.542,-9958.732
GNARX_wb,3,"[2, 2, 2]",28,2121,-10112.757,-9954.287
GNARX_wb_dmi,1,[1],10,2135,-10173.158,-10116.496
GNARX_wb_dmi,1,[2],11,2135,-10172.904,-10110.575
GNARX_wb_dmi,2,"[1, 0]",17,2128,-10161.129,-10064.859
GNARX_wb_dmi,2,"[1, 1]",18,2128,-10159.989,-10058.057
GNARX_wb_dmi,2,"[2, 0]",18,2128,-10161.354,-10059.421
GNARX_wb_dmi,2,"[2, 1]",19,2128,-10159.973,-10052.378
GNARX_wb_dmi,2,"[2, 2]",20,2128,-10158.893,-10045.634
GNARX_wb_dmi,3,"[1, 0, 0]",24,2121,-10147.085,-10011.253
GNARX_wb_dmi,3,"[1, 1, 0]",25,2121,-10145.402,-10003.911
GNARX_wb_dmi,3,"[1, 1, 1]",26,2121,-10143.829,-9996.679
GNARX_wb_dmi,3,"[2, 0, 0]",25,2121,-10147.099,-10005.608
GNARX_wb_dmi,3,"[2, 1, 0]",26,2121,-10145.287,-9998.136
GNARX_wb_dmi,3,"[2, 1, 1]",27,2121,-10143.715,-9990.905
GNARX_wb_dmi,3,"[2, 2, 0]",27,2121,-10143.973,-9991.163
GNARX_wb_dmi,3,"[2, 2, 1]",28,2121,-10142.318,-9983.848
GNARX_wb_dmi,3,"[2, 2, 2]",29,2121,-10143.85,-9979.72
