trial,Model,h1,h3,h6,h12
0,GNAR,1.029,1.6,0.614,2.029
0,GNARX_wb,8.6,2.757,1.714,2.2
1,GNAR,0.914,1.371,0.329,1.986
1,GNARX_wb,8.457,2.643,1.543,2.086
2,GNAR,0.971,0.886,-0.629,0.543
2,GNARX_wb,8.386,2.714,1.443,1.886
3,GNAR,1.157,1.043,-0.271,1.457
3,GNARX_wb,8.571,2.971,1.8,2.157
4,GNAR,0.914,0.629,-0.943,0.914
4,GNARX_wb,8.257,2.443,1.214,1.8
5,GNAR,1.229,0.814,-0.429,0.914
5,GNARX_wb,8.329,2.686,1.5,2.029
6,GNAR,0.771,-0.357,-2.571,0.271
6,GNARX_wb,8.486,2.586,1.357,1.986
7,GNAR,1.457,0.986,-0.814,0.871
7,GNARX_wb,8.443,2.686,1.429,2.029
8,GNAR,0.4,-1.814,-3.986,-0.914
8,GNARX_wb,8.6,2.314,0.871,1.729
9,GNAR,0.643,-0.443,-2.614,0.186
9,GNARX_wb,8.386,2.5,1.057,1.9
10,GNAR,0.857,0.871,-0.614,1.057
10,GNARX_wb,8.2,2.543,1.257,1.9
11,GNAR,1.043,0.371,-1.814,0.757
11,GNARX_wb,8.586,2.557,1.171,1.871
12,GNAR,1.214,-0.143,-2.371,0.371
12,GNARX_wb,8.486,2.386,0.9,1.886
13,GNAR,1.329,0.286,-1.543,0.2
13,GNARX_wb,8.286,2.314,1.086,1.871
14,GNAR,1.671,0.329,-1.4,0.714
14,GNARX_wb,8.971,2.671,1.343,1.929
15,GNAR,1.171,0.543,-1.214,0.8
15,GNARX_wb,8.357,2.457,1.2,1.957
16,GNAR,1.2,0.4,-1.557,1.214
16,GNARX_wb,8.743,2.771,1.357,2.071
17,GNAR,0.4,-0.471,-2.314,0.071
17,GNARX_wb,8.557,2.7,1.329,1.886
18,GNAR,0.471,0.457,-0.814,1.514
18,GNARX_wb,8.543,2.571,1.243,2.043
19,GNAR,0.814,-0.243,-2.229,0.2
19,GNARX_wb,8.429,2.129,0.629,1.514
20,GNAR,1.457,0.357,-1.629,0.4
20,GNARX_wb,8.586,2.657,1.443,1.971
21,GNAR,1.257,1.086,-0.1,1.229
21,GNARX_wb,8.4,2.557,1.4,1.929
22,GNAR,1.329,0.271,-1.614,0.629
22,GNARX_wb,8.543,2.429,1.057,1.843
23,GNAR,1.471,0.171,-1.914,0.086
23,GNARX_wb,8.529,2.514,1.171,1.771
24,GNAR,1.414,1.2,-0.386,1.086
24,GNARX_wb,8.557,2.629,1.157,1.929
25,GNAR,1.4,0.257,-1.9,0.1
25,GNARX_wb,8.357,2.657,1.371,1.957
26,GNAR,1.557,2.357,1.543,2.471
26,GNARX_wb,8.514,2.8,1.6,2.057
27,GNAR,1.471,0.886,-0.671,0.886
27,GNARX_wb,8.414,2.6,1.214,1.986
28,GNAR,0.986,0.714,-0.943,0.657
