Graph,Model,p,s,h1,h3,h6,h12,null_pctile_h1,null_pctile_h3,null_pctile_h6,null_pctile_h12
ccm_diff_train,GNAR,1,[2],1.5,0.4,-1.8,0.5,88.5,45.0,27.0,40.5
ccm_diff_train,GNARX_wb,1,[1],8.4,2.7,1.3,2.1,21.0,68.0,41.0,81.0
ccm_diff_train,GNARX_wb_dmi,1,[1],8.9,4.6,3.3,-3.2,,,,
ccm_stl_train,GNAR,1,[2],1.2,-0.0,-1.6,-0.1,56.0,24.5,38.5,5.0
ccm_stl_train,GNARX_wb,1,[1],8.5,2.7,1.6,1.8,43.0,68.0,86.0,16.0
ccm_stl_train,GNARX_wb_dmi,1,[1],8.8,4.5,3.4,-3.1,,,,
ccm_strict_diff,GNAR,1,[1],0.4,1.6,0.4,2.3,5.5,95.5,96.0,99.5
ccm_strict_diff,GNARX_wb,1,[1],8.1,2.5,1.3,2.0,2.0,25.0,41.0,57.5
ccm_strict_diff,GNARX_wb_dmi,1,[1],8.5,4.4,3.3,-2.8,,,,
corr_top3,GNAR,1,[2],1.3,1.1,0.3,0.9,68.0,85.0,95.5,68.0
corr_top3,GNARX_wb,1,[1],8.5,2.8,1.9,2.0,43.0,87.5,100.0,57.5
corr_top3,GNARX_wb_dmi,1,[1],8.9,4.6,3.6,-3.0,,,,
binary_diff,GNAR,1,[2],1.5,0.3,-2.0,0.3,88.5,38.0,20.5,27.5
binary_diff,GNARX_wb,1,[1],8.4,2.6,1.3,2.1,21.0,45.5,41.0,81.0
binary_diff,GNARX_wb_dmi,1,[1],8.8,4.5,3.2,-3.3,,,,
complete,GNAR,1,[1],1.2,-0.1,-2.1,0.1,56.0,19.5,17.5,9.5
complete,GNARX_wb,1,[1],8.6,2.4,0.9,1.6,72.0,15.0,6.0,2.0
complete,GNARX_wb_dmi,1,[1],8.9,4.2,2.7,-3.8,,,,
