Horizon_m,graph,n_replicates,mean_diff,sd_diff,ci_lo,ci_hi,t,p_value
1,ccm_symmetric,10,4.859,4.207,1.849,7.868,3.652,0.0053
1,ccm_symmetric_row,10,22.477,3.616,19.89,25.064,19.655,0.0
1,ccm_directed,10,20.489,3.96,17.656,23.321,16.363,0.0
1,corr_abs_asbuilt,10,12.047,5.184,8.339,15.755,7.349,4e-05
3,ccm_symmetric,10,3.273,7.113,-1.816,8.361,1.455,0.17966
3,ccm_symmetric_row,10,27.737,6.667,22.968,32.506,13.156,0.0
3,ccm_directed,10,26.949,7.184,21.809,32.088,11.862,0.0
3,corr_abs_asbuilt,10,20.786,8.404,14.774,26.797,7.822,3e-05
6,ccm_symmetric,10,4.0,4.709,0.631,7.369,2.686,0.02495
6,ccm_symmetric_row,10,24.186,3.892,21.401,26.97,19.65,0.0
6,ccm_directed,10,23.397,4.179,20.408,26.387,17.704,0.0
6,corr_abs_asbuilt,10,12.14,6.061,7.804,16.476,6.334,0.00014
12,ccm_symmetric,10,-0.097,1.686,-1.303,1.109,-0.182,0.85949
12,ccm_symmetric_row,10,0.489,1.785,-0.788,1.765,0.866,0.4092
12,ccm_directed,10,-0.519,1.571,-1.643,0.605,-1.044,0.32387
12,corr_abs_asbuilt,10,2.386,5.503,-1.551,6.322,1.371,0.20358
1,DIRECTION_effect_rownorm,10,-1.989,0.733,,,,
1,NORMALISATION_effect_ccmsym,10,-17.619,2.909,,,,
3,DIRECTION_effect_rownorm,10,-0.789,1.831,,,,
3,NORMALISATION_effect_ccmsym,10,-24.464,3.567,,,,
6,DIRECTION_effect_rownorm,10,-0.789,1.692,,,,
6,NORMALISATION_effect_ccmsym,10,-20.186,2.16,,,,
12,DIRECTION_effect_rownorm,10,-1.007,1.594,,,,
12,NORMALISATION_effect_ccmsym,10,-0.586,1.625,,,,
