trial,h1,h3,h6,h12
0,-31.643,-41.471,-31.557,-2.586
1,-28.386,-34.729,-22.1,0.543
2,-30.786,-39.0,-29.3,-5.329
3,-33.129,-40.4,-29.357,-5.271
4,-27.857,-35.657,-19.686,-13.157
5,-26.314,-37.257,-26.457,-0.071
6,-32.814,-42.429,-31.1,-0.9
7,-30.757,-38.557,-28.186,-1.186
8,-23.314,-37.214,-28.071,-6.986
9,-30.171,-38.171,-28.929,-4.729
10,-29.071,-38.657,-30.057,-3.343
11,-32.714,-40.314,-27.186,0.371
12,-33.8,-40.886,-28.186,-0.443
13,-30.786,-40.157,-26.257,-0.657
14,-19.657,-28.186,-24.357,-7.971
15,-26.614,-35.143,-22.843,2.157
16,-20.829,-26.657,-20.157,1.114
17,-32.543,-39.257,-25.286,-0.243
18,-32.071,-40.471,-30.943,-0.529
19,-29.743,-40.857,-26.171,-8.457
20,-31.643,-38.886,-27.929,-1.029
21,-27.629,-35.486,-19.8,-0.043
22,-32.086,-39.371,-26.771,-0.486
23,-25.871,-30.471,-17.171,1.814
24,-30.671,-39.729,-30.886,-5.014
25,-32.143,-44.057,-36.543,-5.786
26,-32.129,-41.871,-30.729,-1.943
27,-31.614,-38.571,-26.171,-2.286
28,-33.986,-39.414,-24.186,1.243
29,-32.7,-41.743,-32.014,-4.1
