Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%
Lake Albert,RandomWalk,1,0.1539,0.1214,60,-23.8
Lake Albert,RandomWalk,3,0.3798,0.2944,58,-24.3
Lake Albert,RandomWalk,6,0.6187,0.4954,55,-11.6
Lake Albert,RandomWalk,12,0.9827,0.8373,49,10.0
Lake Albert,SARIMA,1,0.1243,0.1003,60,0.0
Lake Albert,SARIMA,3,0.3055,0.2348,58,0.0
Lake Albert,SARIMA,6,0.5542,0.4443,55,0.0
Lake Albert,SARIMA,12,1.0918,0.913,49,0.0
Lake Albert,SARIMAX,1,0.124,0.1003,60,0.2
Lake Albert,SARIMAX,3,0.3043,0.2344,58,0.4
Lake Albert,SARIMAX,6,0.5483,0.4337,55,1.1
Lake Albert,SARIMAX,12,1.0882,0.9101,49,0.3
Lake Edward,RandomWalk,1,0.1074,0.0853,60,-23.4
Lake Edward,RandomWalk,3,0.2097,0.1683,58,-25.0
Lake Edward,RandomWalk,6,0.2486,0.2017,55,-0.9
Lake Edward,RandomWalk,12,0.2818,0.2364,49,0.9
Lake Edward,SARIMA,1,0.087,0.0685,60,0.0
Lake Edward,SARIMA,3,0.1678,0.1339,58,0.0
Lake Edward,SARIMA,6,0.2463,0.2002,55,0.0
Lake Edward,SARIMA,12,0.2844,0.2391,49,0.0
Lake Edward,SARIMAX,1,0.0862,0.066,60,0.9
Lake Edward,SARIMAX,3,0.1708,0.1352,58,-1.8
Lake Edward,SARIMAX,6,0.2442,0.1951,55,0.9
Lake Edward,SARIMAX,12,0.2784,0.2346,49,2.1
Lake Kivu,RandomWalk,1,0.1098,0.0836,60,-32.1
Lake Kivu,RandomWalk,3,0.2281,0.1896,58,-84.4
Lake Kivu,RandomWalk,6,0.3035,0.2554,55,-78.1
Lake Kivu,RandomWalk,12,0.2057,0.1616,49,3.3
Lake Kivu,SARIMA,1,0.0831,0.0617,60,0.0
Lake Kivu,SARIMA,3,0.1237,0.0958,58,0.0
Lake Kivu,SARIMA,6,0.1704,0.1346,55,0.0
Lake Kivu,SARIMA,12,0.2128,0.1657,49,0.0
Lake Kivu,SARIMAX,1,0.0807,0.0591,60,2.9
Lake Kivu,SARIMAX,3,0.1229,0.0952,58,0.6
Lake Kivu,SARIMAX,6,0.1687,0.1335,55,1.0
Lake Kivu,SARIMAX,12,0.211,0.1662,49,0.8
Lake Malawi,RandomWalk,1,0.2235,0.185,60,-102.8
Lake Malawi,RandomWalk,3,0.5707,0.4954,58,-130.7
Lake Malawi,RandomWalk,6,0.7759,0.6755,55,-108.5
Lake Malawi,RandomWalk,12,0.547,0.5005,49,1.4
Lake Malawi,SARIMA,1,0.1102,0.0692,60,0.0
Lake Malawi,SARIMA,3,0.2474,0.1658,58,0.0
Lake Malawi,SARIMA,6,0.3721,0.2811,55,0.0
Lake Malawi,SARIMA,12,0.5549,0.4783,49,0.0
Lake Malawi,SARIMAX,1,0.0986,0.0628,60,10.5
Lake Malawi,SARIMAX,3,0.2462,0.1639,58,0.5
Lake Malawi,SARIMAX,6,0.3721,0.285,55,0.0
Lake Malawi,SARIMAX,12,0.5549,0.4853,49,0.0
Lake Tanganyika,RandomWalk,1,0.1712,0.1472,60,-95.0
Lake Tanganyika,RandomWalk,3,0.4286,0.3809,58,-111.5
Lake Tanganyika,RandomWalk,6,0.6197,0.5191,55,-81.3
Lake Tanganyika,RandomWalk,12,0.4753,0.394,49,-4.5
Lake Tanganyika,SARIMA,1,0.0878,0.0624,60,0.0
Lake Tanganyika,SARIMA,3,0.2026,0.1551,58,0.0
Lake Tanganyika,SARIMA,6,0.3418,0.2706,55,0.0
Lake Tanganyika,SARIMA,12,0.4547,0.3789,49,0.0
Lake Tanganyika,SARIMAX,1,0.0869,0.0608,60,1.0
Lake Tanganyika,SARIMAX,3,0.2044,0.1557,58,-0.9
Lake Tanganyika,SARIMAX,6,0.346,0.2732,55,-1.2
Lake Tanganyika,SARIMAX,12,0.4595,0.3848,49,-1.1
Lake Turkana,RandomWalk,1,0.1204,0.086,60,-20.8
Lake Turkana,RandomWalk,3,0.2748,0.2148,58,-12.0
Lake Turkana,RandomWalk,6,0.449,0.3703,55,-8.6
Lake Turkana,RandomWalk,12,0.8021,0.6708,49,-18.0
Lake Turkana,SARIMA,1,0.0997,0.0722,60,0.0
Lake Turkana,SARIMA,3,0.2454,0.1988,58,0.0
Lake Turkana,SARIMA,6,0.4134,0.3584,55,0.0
Lake Turkana,SARIMA,12,0.68,0.615,49,0.0
Lake Turkana,SARIMAX,1,0.092,0.0663,60,7.7
Lake Turkana,SARIMAX,3,0.2402,0.1934,58,2.1
Lake Turkana,SARIMAX,6,0.4063,0.3456,55,1.7
Lake Turkana,SARIMAX,12,0.6677,0.6058,49,1.8
Lake Victoria,RandomWalk,1,0.1099,0.0894,60,-75.6
Lake Victoria,RandomWalk,3,0.2405,0.1921,58,-72.4
Lake Victoria,RandomWalk,6,0.3206,0.2448,55,-41.5
Lake Victoria,RandomWalk,12,0.3363,0.29,49,1.3
Lake Victoria,SARIMA,1,0.0626,0.0503,60,0.0
Lake Victoria,SARIMA,3,0.1395,0.1096,58,0.0
Lake Victoria,SARIMA,6,0.2266,0.1745,55,0.0
Lake Victoria,SARIMA,12,0.3407,0.2929,49,0.0
Lake Victoria,SARIMAX,1,0.057,0.0462,60,8.9
Lake Victoria,SARIMAX,3,0.1353,0.1028,58,3.0
Lake Victoria,SARIMAX,6,0.2224,0.1693,55,1.9
Lake Victoria,SARIMAX,12,0.3435,0.2966,49,-0.8
