Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_SARIMA_%
Lake Albert,RandomWalk,1,0.1539,0.1214,-23.8
Lake Albert,RandomWalk,3,0.3798,0.2944,-24.3
Lake Albert,RandomWalk,6,0.6187,0.4954,-11.6
Lake Albert,RandomWalk,12,0.9827,0.8373,10.0
Lake Albert,SARIMA,1,0.1243,0.1003,0.0
Lake Albert,SARIMA,3,0.3055,0.2348,0.0
Lake Albert,SARIMA,6,0.5542,0.4443,0.0
Lake Albert,SARIMA,12,1.0918,0.913,0.0
Lake Albert,VAR,1,0.1297,0.1076,-4.3
Lake Albert,VAR,3,0.303,0.2432,0.8
Lake Albert,VAR,6,0.5298,0.4225,4.4
Lake Albert,VAR,12,0.989,0.8242,9.4
Lake Albert,VARX_orig,1,0.1298,0.1063,-4.4
Lake Albert,VARX_orig,3,0.3104,0.2397,-1.6
Lake Albert,VARX_orig,6,0.5677,0.4568,-2.4
Lake Albert,VARX_orig,12,1.0205,0.837,6.5
Lake Albert,VARX_zero,1,0.1304,0.1031,-4.9
Lake Albert,VARX_zero,3,0.3075,0.2457,-0.7
Lake Albert,VARX_zero,6,0.5404,0.4346,2.5
Lake Albert,VARX_zero,12,0.9602,0.8053,12.1
Lake Albert,VARX_dmionly,1,0.125,0.1026,-0.6
Lake Albert,VARX_dmionly,3,0.2753,0.2189,9.9
Lake Albert,VARX_dmionly,6,0.4604,0.3625,16.9
Lake Albert,VARX_dmionly,12,0.8285,0.6494,24.1
Lake Albert,VARX_oracle,1,0.1304,0.1031,-4.9
Lake Albert,VARX_oracle,3,0.2792,0.2247,8.6
Lake Albert,VARX_oracle,6,0.4877,0.3876,12.0
Lake Albert,VARX_oracle,12,0.8408,0.6957,23.0
Lake Edward,RandomWalk,1,0.1074,0.0853,-23.4
Lake Edward,RandomWalk,3,0.2097,0.1683,-25.0
Lake Edward,RandomWalk,6,0.2486,0.2017,-0.9
Lake Edward,RandomWalk,12,0.2818,0.2364,0.9
Lake Edward,SARIMA,1,0.087,0.0685,0.0
Lake Edward,SARIMA,3,0.1678,0.1339,0.0
Lake Edward,SARIMA,6,0.2463,0.2002,0.0
Lake Edward,SARIMA,12,0.2844,0.2391,0.0
Lake Edward,VAR,1,0.0896,0.0724,-3.0
Lake Edward,VAR,3,0.147,0.1233,12.4
Lake Edward,VAR,6,0.2286,0.1912,7.2
Lake Edward,VAR,12,0.3382,0.285,-18.9
Lake Edward,VARX_orig,1,0.0891,0.0718,-2.4
Lake Edward,VARX_orig,3,0.173,0.1394,-3.1
Lake Edward,VARX_orig,6,0.3137,0.2386,-27.4
Lake Edward,VARX_orig,12,0.5435,0.4082,-91.1
Lake Edward,VARX_zero,1,0.0692,0.0549,20.5
Lake Edward,VARX_zero,3,0.1383,0.1132,17.6
Lake Edward,VARX_zero,6,0.2247,0.1773,8.8
Lake Edward,VARX_zero,12,0.3301,0.2865,-16.1
Lake Edward,VARX_dmionly,1,0.0901,0.0732,-3.6
Lake Edward,VARX_dmionly,3,0.1573,0.1312,6.3
Lake Edward,VARX_dmionly,6,0.2657,0.2157,-7.9
Lake Edward,VARX_dmionly,12,0.4548,0.3922,-59.9
Lake Edward,VARX_oracle,1,0.0692,0.0549,20.5
Lake Edward,VARX_oracle,3,0.1256,0.0995,25.1
Lake Edward,VARX_oracle,6,0.2098,0.1607,14.8
Lake Edward,VARX_oracle,12,0.29,0.23,-2.0
Lake Kivu,RandomWalk,1,0.1098,0.0836,-32.1
Lake Kivu,RandomWalk,3,0.2281,0.1896,-84.4
Lake Kivu,RandomWalk,6,0.3035,0.2554,-78.1
Lake Kivu,RandomWalk,12,0.2057,0.1616,3.3
Lake Kivu,SARIMA,1,0.0831,0.0617,0.0
Lake Kivu,SARIMA,3,0.1237,0.0958,0.0
Lake Kivu,SARIMA,6,0.1704,0.1346,0.0
Lake Kivu,SARIMA,12,0.2128,0.1657,0.0
Lake Kivu,VAR,1,0.0806,0.0604,3.0
Lake Kivu,VAR,3,0.1305,0.1031,-5.5
Lake Kivu,VAR,6,0.1806,0.1401,-6.0
Lake Kivu,VAR,12,0.2415,0.1838,-13.5
Lake Kivu,VARX_orig,1,0.0866,0.0629,-4.2
Lake Kivu,VARX_orig,3,0.1681,0.1238,-35.9
Lake Kivu,VARX_orig,6,0.3047,0.2321,-78.8
Lake Kivu,VARX_orig,12,0.5156,0.3839,-142.3
Lake Kivu,VARX_zero,1,0.0723,0.0566,13.0
Lake Kivu,VARX_zero,3,0.1252,0.096,-1.2
Lake Kivu,VARX_zero,6,0.1802,0.1444,-5.8
Lake Kivu,VARX_zero,12,0.2296,0.1788,-7.9
Lake Kivu,VARX_dmionly,1,0.0807,0.0605,2.9
Lake Kivu,VARX_dmionly,3,0.1348,0.1078,-9.0
Lake Kivu,VARX_dmionly,6,0.2102,0.1544,-23.4
Lake Kivu,VARX_dmionly,12,0.3784,0.3042,-77.8
Lake Kivu,VARX_oracle,1,0.0723,0.0566,13.0
Lake Kivu,VARX_oracle,3,0.106,0.0845,14.3
Lake Kivu,VARX_oracle,6,0.1598,0.128,6.2
Lake Kivu,VARX_oracle,12,0.2233,0.1789,-4.9
