Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Albert,RandomWalk,1,0.1539,0.1214,-23.8,27.1,0.285
Lake Albert,RandomWalk,3,0.3798,0.2944,-24.3,67.0,0.692
Lake Albert,RandomWalk,6,0.6187,0.4954,-11.6,109.1,1.165
Lake Albert,RandomWalk,12,0.9827,0.8373,10.0,173.3,1.969
Lake Albert,SARIMA,1,0.1243,0.1003,0.0,21.9,0.236
Lake Albert,SARIMA,3,0.3055,0.2348,0.0,53.9,0.552
Lake Albert,SARIMA,6,0.5542,0.4443,0.0,97.7,1.045
Lake Albert,SARIMA,12,1.0918,0.913,0.0,192.5,2.147
Lake Albert,VAR,1,0.1297,0.1076,-4.3,22.9,0.253
Lake Albert,VAR,3,0.303,0.2432,0.8,53.4,0.572
Lake Albert,VAR,6,0.5298,0.4225,4.4,93.4,0.993
Lake Albert,VAR,12,0.989,0.8242,9.4,174.4,1.938
Lake Albert,VARX_orig,1,0.1298,0.1063,-4.4,22.9,0.25
Lake Albert,VARX_orig,3,0.3104,0.2397,-1.6,54.7,0.564
Lake Albert,VARX_orig,6,0.5677,0.4568,-2.4,100.1,1.074
Lake Albert,VARX_orig,12,1.0205,0.837,6.5,179.9,1.968
Lake Albert,VARX_zero,1,0.1304,0.1031,-4.9,23.0,0.242
Lake Albert,VARX_zero,3,0.3075,0.2457,-0.7,54.2,0.578
Lake Albert,VARX_zero,6,0.5404,0.4346,2.5,95.3,1.022
Lake Albert,VARX_zero,12,0.9602,0.8053,12.1,169.3,1.893
Lake Albert,VARX_dmionly,1,0.125,0.1026,-0.6,22.0,0.241
Lake Albert,VARX_dmionly,3,0.2753,0.2189,9.9,48.5,0.515
Lake Albert,VARX_dmionly,6,0.4604,0.3625,16.9,81.2,0.852
Lake Albert,VARX_dmionly,12,0.8285,0.6494,24.1,146.1,1.527
Lake Albert,VARX_oracle,1,0.1304,0.1031,-4.9,23.0,0.242
Lake Albert,VARX_oracle,3,0.2792,0.2247,8.6,49.2,0.528
Lake Albert,VARX_oracle,6,0.4877,0.3876,12.0,86.0,0.911
Lake Albert,VARX_oracle,12,0.8408,0.6957,23.0,148.3,1.636
Lake Edward,RandomWalk,1,0.1074,0.0853,-23.4,35.0,0.286
Lake Edward,RandomWalk,3,0.2097,0.1683,-25.0,68.4,0.564
Lake Edward,RandomWalk,6,0.2486,0.2017,-0.9,81.1,0.676
Lake Edward,RandomWalk,12,0.2818,0.2364,0.9,91.9,0.792
Lake Edward,SARIMA,1,0.087,0.0685,0.0,28.4,0.229
Lake Edward,SARIMA,3,0.1678,0.1339,0.0,54.7,0.448
Lake Edward,SARIMA,6,0.2463,0.2002,0.0,80.3,0.671
Lake Edward,SARIMA,12,0.2844,0.2391,0.0,92.8,0.801
Lake Edward,VAR,1,0.0896,0.0724,-3.0,29.2,0.243
Lake Edward,VAR,3,0.147,0.1233,12.4,48.0,0.413
Lake Edward,VAR,6,0.2286,0.1912,7.2,74.6,0.64
Lake Edward,VAR,12,0.3382,0.285,-18.9,110.3,0.955
Lake Edward,VARX_orig,1,0.0891,0.0718,-2.4,29.1,0.24
Lake Edward,VARX_orig,3,0.173,0.1394,-3.1,56.4,0.467
Lake Edward,VARX_orig,6,0.3137,0.2386,-27.4,102.3,0.799
Lake Edward,VARX_orig,12,0.5435,0.4082,-91.1,177.3,1.367
Lake Edward,VARX_zero,1,0.0692,0.0549,20.5,22.6,0.184
Lake Edward,VARX_zero,3,0.1383,0.1132,17.6,45.1,0.379
Lake Edward,VARX_zero,6,0.2247,0.1773,8.8,73.3,0.594
Lake Edward,VARX_zero,12,0.3301,0.2865,-16.1,107.7,0.96
Lake Edward,VARX_dmionly,1,0.0901,0.0732,-3.6,29.4,0.245
Lake Edward,VARX_dmionly,3,0.1573,0.1312,6.3,51.3,0.439
Lake Edward,VARX_dmionly,6,0.2657,0.2157,-7.9,86.7,0.722
Lake Edward,VARX_dmionly,12,0.4548,0.3922,-59.9,148.4,1.314
Lake Edward,VARX_oracle,1,0.0692,0.0549,20.5,22.6,0.184
Lake Edward,VARX_oracle,3,0.1256,0.0995,25.1,41.0,0.333
Lake Edward,VARX_oracle,6,0.2098,0.1607,14.8,68.4,0.538
Lake Edward,VARX_oracle,12,0.29,0.23,-2.0,94.6,0.77
Lake Kivu,RandomWalk,1,0.1098,0.0836,-32.1,33.6,0.286
Lake Kivu,RandomWalk,3,0.2281,0.1896,-84.4,69.8,0.649
Lake Kivu,RandomWalk,6,0.3035,0.2554,-78.1,92.9,0.874
